width,x,y
27,403,301
28,402,302
28,402,302
28,402,302
28,402,301
27,402,301
27,403,301
27,403,301
27,402,301
27,403,301
27,402,301
27,402,301
27,402,301
27,403,301
27,404,301
26,405,301
25,405,301
25,405,301
25,406,300
24,406,298
24,405,297
23,405,297
23,404,296
23,404,297
23,404,297
23,404,297
23,404,296
23,403,296
23,403,296
23,403,295
23,404,295
23,404,294
23,403,294
23,403,294
23,403,295
23,403,295
23,402,295
23,402,295
23,402,296
24,401,297
25,400,296
26,401,296
26,401,296
26,401,296
26,401,295
25,403,295
25,403,295
25,403,295
25,402,295
25,403,295
25,404,295
25,404,295
25,404,295
25,404,295
25,404,295
24,404,295
24,404,295
24,404,294
24,405,293
23,406,292
23,405,292
23,405,292
23,405,292
23,405,292
23,404,292
23,404,292
23,404,292
23,404,292
23,404,292
23,403,291
23,403,291
22,403,290
22,403,290
22,403,290
22,404,290
22,404,290
22,404,291
22,405,291
22,406,289
22,407,288
22,406,287
22,406,288
22,407,289
22,407,289
22,407,289
22,407,289
22,406,288
22,406,288
22,406,288
22,404,289
22,404,290
22,404,290
22,404,290
22,405,291
22,404,292
22,404,292
23,402,293
24,403,293
25,403,293
26,404,293
27,404,293
27,405,292
26,406,292
25,406,292
24,405,292
23,405,291
23,405,291
23,405,291
22,406,291
23,407,291
22,407,291
22,407,291
23,407,292
22,407,292
23,407,292
22,407,291
23,406,291
23,406,290
23,406,291
24,406,291
25,405,292
28,404,293
30,404,293
31,404,293
32,404,293
31,404,292
29,405,292
28,405,291
27,406,291
26,406,291
25,406,291
25,406,291
25,406,291
26,406,291
26,405,292
26,405,292
27,405,292
28,405,292
28,405,292
28,405,292
28,406,292
28,406,292
29,406,293
30,406,292
30,405,292
29,406,292
28,405,291
28,406,292
28,405,292
28,405,292
27,405,292
26,405,291
26,405,291
26,405,291
26,405,292
25,405,293
24,405,295
25,404,296
25,404,297
26,405,297
25,406,297
24,407,297
23,407,297
22,408,297
22,408,296
22,409,295
22,409,295
22,410,295
22,410,295
22,411,295
23,412,295
22,412,294
22,412,295
22,413,294
23,414,294
22,415,292
22,414,292
22,414,291
22,414,291
22,413,292
22,413,291
22,414,292
22,415,291
22,417,291
22,417,292
22,417,292
22,416,294
22,416,293
22,415,293
22,416,292
22,415,293
23,415,294
25,415,294
23,416,292
23,417,291
22,417,291
22,417,291
22,416,291
22,415,292
22,415,293
22,415,293
22,415,294
22,415,294
22,416,295
22,417,297
22,417,298
22,418,299
22,419,298
23,421,295
23,421,294
22,422,294
22,422,295
23,422,295
22,422,295
23,423,295
23,423,294
23,424,294
22,423,294
22,423,295
23,423,296
23,424,297
23,424,295
23,424,296
23,424,297
23,424,298
23,424,298
22,424,298
22,425,297
22,425,297
22,425,297
23,424,298
23,424,299
23,424,299
22,424,299
23,424,299
23,425,298
23,426,298
23,426,297
23,426,298
23,426,299
23,425,300
23,425,300
23,426,300
23,426,300
23,427,300
23,427,300
22,427,300
23,427,301
22,427,301
23,427,301
23,426,301
23,426,301
23,426,302
23,426,302
23,426,302
22,426,302
22,426,301
22,426,301
22,426,301
22,426,301
22,426,301
22,427,300
22,426,301
22,426,301
22,425,302
22,425,302
22,425,302
22,426,301
22,425,302
22,425,303
22,426,304
22,427,304
23,427,303
23,427,301
23,428,302
23,428,303
23,429,303
23,429,303
22,429,304
22,429,304
22,428,305
22,428,305
23,429,304
23,429,304
23,430,303
23,430,303
23,430,302
23,430,302
23,430,302
23,430,303
23,430,303
23,430,303
23,431,302
23,432,302
23,432,302
23,432,302
22,432,302
22,432,303
23,432,303
23,433,304
22,433,304
22,434,304
23,434,303
23,435,303
23,436,302
23,436,300
23,436,299
23,437,300
23,437,300
23,437,300
23,437,300
23,437,300
23,437,299
23,437,299
23,437,300
23,436,300
23,435,300
23,435,301
22,436,302
23,436,301
23,437,302
23,438,304
22,439,307
23,439,314
23,440,316
23,442,317
23,443,319
27,442,327
30,441,330
33,442,331
34,442,330
34,442,331
34,443,331
33,444,330
32,444,329
31,443,329
30,443,329
29,443,331
29,444,333
29,445,335
29,445,337
28,447,338
27,449,338
26,449,339
26,449,340
25,449,341
25,449,342
25,449,343
24,448,343
24,448,342
24,447,341
